Altium Designer Pick and Place Locations
E:\aKaReZa\#gitHub\eBoard_ATMEGA328\ATMEGA328\Project Outputs for ATMEGA328\Generates pick and place files\Pick Place for PCB.csv

========================================================================================================================
File Design Information:

Date:       11/03/25
Time:       12:57
Revision:   ae1c209acba05f84803a96a02f5d15c3f27f171b
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"P2","3x2","TopLayer","IDC_2X3","25.5270","5.4610","0","6 Pin Standard ISP Header For MKII"
"S1","PB","TopLayer","SW_PB_SMD_2PIN_SPST_6X3X2","12.5730","5.3340","90","SMT Tactile ?Switch"
"Y2","12M","TopLayer","Crystal_SMD","38.9890","14.3510","135","Crystal Oscillator"
"Y1","12M","TopLayer","Crystal_SMD","45.8470","59.6310","270","Crystal Oscillator"
"U1","ATmega328P","TopLayer","ATMEGA328","28.0480","23.4130","90","8-Bit AVR Microcontroller with 32K Bytes of In-System Programmable Flash Memory"
"C16","100n","TopLayer","CAP_0805/2012","29.2100","51.4524","270","Bipolar ceramic capacitor SMD"
"U4","3.3V","TopLayer","SOT223_M","15.2400","46.8630","270","1'A Positive voltage regulator"
"R13","680b","TopLayer","RES_0805_(2012X06L)","5.4920","65.4050","180","Resistor"
"R12","1.8k","TopLayer","RES_0805_(2012X06L)","5.4920","63.3730","180","Resistor"
"R11","1k","TopLayer","RES_0805_(2012X06L)","46.8630","46.0130","270","Resistor"
"R10","1.8K","TopLayer","RES_0805_(2012X06L)","38.7350","41.5060","90","Resistor"
"R9","4.7K","BottomLayer","RES_0805_(2012X06L)","36.8300","65.0630","270","Resistor"
"R8","4.7K","BottomLayer","RES_0805_(2012X06L)","33.9090","65.0630","270","Resistor"
"JP1","0b","TopLayer","jumper_selector","26.1620","40.5130","270","Jumper Selector"
"J3","12b","TopLayer","HRO_TYPE-C-31-M-12_-_Extended","35.4330","63.9158","180","USB C Female Connector"
"F4","0.5A","TopLayer","1206_F","14.3510","53.7210","180","Short circiut  protection"
